,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.018,0.0584,0.1916,"x, y, 1/4-y",96 g,m
1,E2,0.9648,0.0325,0.1388,"x, y, z",192 i,1
2,E3,0.0512,0.0512,0.1178,"x, x, z",96 g,m
3,E4,0.0038,0.0038,0.2058,"x, x, z",96 g,m
4,E5,0.0853,0.0853,0.3384,"x, x, z",96 g,m
5,E6,0.0866,0.1633,0.3384,"x, 1/4-x, z",96 g,m
6,E7,0.0,0.1426,0.3574,"0, y, 1/2-y",96 h,2
7,E8,0.0652,0.1035,0.3894,"x, y, z",192 i,1
8,E9,0.0316,0.0699,0.3545,"x, y, z",192 i,1
9,E10,0.125,0.125,0.0843,"1/8, 1/8, z",48 f,mm2
10,E11,0.125,0.125,0.4404,"1/6, 1/8, z",48 f,mm2
11,E12,0.0499,0.0499,0.4055,"x, x, z",96 g,m
12,E13,0.0336,0.1065,0.4621,"x, y, z",192 i,1
13,E14,0.2471,0.2471,0.3155,"x, x, z",96 g,m
