,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.3188,0.3189,0.3469,"x, x, z",96 g,m
1,E2,0.2908,0.375,0.375,"x, 3/8, 3/8",48 f,mm2
2,E3,0.2533,0.3377,0.3377,"x, x, z",96 g,m
3,E4,0.2254,0.2254,0.3096,"x, x, z",96 g,m
4,E5,0.1973,0.2815,0.2815,"x, y, y",96 g,m
5,E6,0.2066,0.291,0.319,"x, y, z",192 i,1
6,E7,0.1621,0.2394,0.3212,"x, y, z",192 i,1
7,E8,0.1017,0.1483,0.4437,"x, 1/4-x, z",96 g,m
8,E9,0.1109,0.1109,0.3872,"x, x, z",96 g,m
9,E10,0.125,0.125,0.3528,"1/8, 1/8, z",48 f,mm2
10,E11,0.0608,0.11,0.3428,"x, y, z",192 i,1
11,E12,0.0,0.1452,0.3548,"0,y, 1/2-y",96 h,2
12,E13,0.0124,0.1585,0.3195,"x, y, z",192 i,1
13,E14,0.0281,0.2219,0.3062,"x, 1/4-x, z",96 g,m
