,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.1351,0.1351,0.25,"x, x, z",48 h,m
1,E2,0.0969,0.2117,0.2117,"x, y, y",48 h,m
2,E3,0.0969,0.2117,0.2883,"x, y, 1/2-y",48 h,m
3,E4,0.0485,0.1564,0.2671,"x, y, z",96 i,1
4,E5,0.0,0.0,0.2769,"0, 0, z",24 j,mm2
5,E6,0.0192,0.0888,0.2805,"x, y, z",96 i,1
6,E7,0.0383,0.0383,0.3311,"x, x, z",48 h,m
7,E8,0.0,0.1776,0.3224,"x, y, 1/2-y",48 h,m
8,E9,0.9516,0.1563,0.2671,"x, y, z",96 i,1
9,E10,0.2117,0.2117,0.5969,"x, x, z",48 h,m
10,E11,0.2117,0.2883,0.5969,"x, 1/2-x, z",48 h,m
11,E12,0.1351,0.25,0.6351,"x, y, 1/2+x",48 h,m
12,E13,0.0,0.0,0.3852,"0, 0, z",24 f,mm2
13,E14,0.0765,0.0383,0.4235,"x, y, 1/2-x",48 h,m
