,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.1534,0.2528,0.1379,"x, y, z",32 p,1
1,E2,0.1066,0.0,0.0852,"x, 0, z",16 n,m
2,E3,0.0,0.0,0.1678,"0, 0, z",8 i,mm2
3,E4,0.0,0.5,0.0,"0, 1/2, 0",4 b,mmm
4,E5,0.0,0.2424,0.0839,"0, y, z",16 m,m
5,E6,0.0533,0.1777,0.1265,"x, y, z",32 p,1
6,E7,0.0,0.25,0.25,"0, 1/4, 1/4",8 c,2/m
7,E8,0.2999,0.0,0.1906,"x, 0, z",16 n,m
8,E9,0.25,0.1726,0.25,"1/4, y, 1/4",16 k,2
9,E10,0.0533,0.243,0.0426,"x, y, z",32 p,1
10,E11,0.1066,0.1783,0.0,"x, y, 0",16 o,m
