,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.135,0.3411,0.25,"x, y, 1/4",8 g,m
1,E2,0.2083,0.3414,0.191,"x, y, z",16 h,1
2,E3,0.1591,0.3958,0.191,"x, y, z",16 h,1
3,E4,0.1099,0.3408,0.0195,"x, y, z",16 h,1
4,E5,0.2324,0.3961,0.25,"x, y, 1/4",8 g,m
5,E6,0.3485,0.3006,0.25,"x, y, 1/4",8 g,m
6,E7,0.134,0.5051,0.25,"x, y, 1/4",8 g,m
7,E8,0.5,0.2595,0.25,"0, y, 1/4",4 c,mm2
8,E9,0.4153,0.2095,0.1716,"x, y, z",16 h,1
9,E10,0.5,0.1595,0.0932,"x, y, 1/4",8 g,m
10,E11,0.4153,0.1095,0.1716,"x, y, z",16 h,1
11,E12,0.5,0.0595,0.25,"1/2, y, 1/4",4 c,mm2
