,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0631,0.2805,0.073,"x, y, z",32 p,1
1,E2,0.1262,0.5,0.0771,"x, 1/2, z",16 n,m
2,E3,0.0,0.0,0.3846,"0, 0, z",8 i,mm2
3,E4,0.0,0.1821,0.1353,"0, y, z",16 m,m
4,E5,0.0,0.2163,0.0,"0, y, 0",8 h,mm2
5,E6,0.0631,0.0776,0.4368,"x, y, z",32 p,1
6,E7,0.2037,0.0,0.1862,"x, 0, z",16 n,m
7,E8,0.25,0.1589,0.25,"1/4, y, 1/4",16 k,2
8,E9,0.0,0.074,0.2601,"0, y, z",16 m,m
9,E10,0.0,0.1418,0.441,"0, y, z",16 m,m
10,E11,0.1262,0.3447,0.0,"x, y, 0",16 o,m
11,E12,0.165,0.2518,0.1316,"x, y, z",32 p,1
12,E13,0.0,0.0,0.2017,"0, 0, z",8 i,mm2
