,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.4132,0.0846,0.1389,"x, y, z",12 o,1,1
1,V2,4,0.5297,0.1964,0.0661,"x, y, z",12 o,1,1
2,V3,4,0.2551,0.0049,0.1367,"x, y, z",12 o,1,1
3,V4,4,0.0,0.1369,0.0661,"x, y, z",12 o,1,1
4,V5,4,0.3318,0.0546,0.2517,"x, y, z",12 o,1,1
5,V6,3,0.3175,0.0903,0.3767,"x, y, z",12 o,1,1
6,V7,4,0.0631,0.3968,0.1858,"x, y, z",12 o,1,1
7,V8,4,0.1964,0.5297,0.2169,"x, y, z",12 o,1,1
8,V9,4,0.2431,0.4862,0.4339,"x, 2x, z",6 n,m,2
9,V10,5,0.2877,0.5754,0.3248,"x, 2x, z",6 n,m,2
10,V11,4,0.1187,0.3744,0.5,"x, y, 0",6 l,m,2
11,V12,3,0.3046,0.0359,0.5,"x, y, 1/2",6 m,m,2
