,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,6,15,30,39,65,76,100,141,169,646,3.8.3.8.3.8(2)
1,V2,4,10,19,29,42,59,84,115,143,171,677,4.8.4.8(2).6.8
2,V3,4,6,15,30,39,64,75,97,140,169,640,3.8.3.8.3.8(2)
3,V4,4,10,19,29,42,58,82,113,140,168,666,4.8.4.8(2).6.8
4,V5,4,5,13,27,35,62,75,95,135,161,613,3.8.3.8.3.8
5,V6,3,7,12,19,34,53,76,100,119,151,575,6.8.8(2)
6,V7,4,6,15,29,39,62,74,101,134,166,631,3.8.3.8.3.8
7,V8,4,10,17,27,39,57,79,103,132,161,630,3.8.4.8.6.8
8,V9,4,7,16,28,34,54,62,102,140,165,613,3.8.3.8.3.8(2)
9,V10,5,11,19,28,36,58,82,102,137,171,650,3.3.4.4.8.8.8.8.20(4).20(4)
10,V11,4,5,14,27,30,54,58,93,140,156,582,3.8.3.8.3.12(2)
11,V12,3,7,12,21,35,48,79,93,129,164,592,6.8.8
