,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.4715,0.1405,0.1025,"x, y, z",12 o,1
1,E2,0.3342,0.0447,0.1378,"x, y, z",12 o,1
2,E3,0.3725,0.0696,0.1953,"x, y, z",12 o,1
3,E4,0.3734,0.0108,0.1624,"x, y, z",12 o,1
4,E5,0.5297,0.1964,0.0,"x, y, 0",6 l,m
5,E6,0.5297,0.2649,0.0661,"2y, y, z",6 n,m
6,E7,0.5982,0.1964,0.0661,"x, 2x, z",6 n,m
7,E8,0.196,0.0025,0.1014,"x, y, z",12 o,1
8,E9,0.2934,0.0298,0.1942,"x, y, z",12 o,1
9,E10,0.2944,0.9709,0.1613,"x, y, z",12 o,1
10,E11,0.0,0.1369,0.0,"x, y, 0",6 l,m
11,E12,0.9316,0.0684,0.0661,"x, 1-x, z",6 n,m
12,E13,0.0684,0.1369,0.0661,"x, 2x, z",6 n,m
13,E14,0.3247,0.0725,0.3142,"x, y, z",12 o,1
14,E15,0.3327,0.9958,0.2188,"x, y, z",12 o,1
15,E16,0.3175,0.1588,0.3767,"2y, y, z",6 n,m
16,E17,0.311,0.0631,0.4384,"x, y, z",12 o,1
17,E18,0.1297,0.4633,0.2014,"x, y, z",12 o,1
18,E19,0.1964,0.5982,0.2169,"2y, y, z",6 n,m
19,E20,0.2649,0.5297,0.2169,"x, 2x, z",6 n,m
20,E21,0.242,0.5525,0.2709,"x, y, z",12 o,1
21,E22,0.2431,0.4862,0.5,"x, 2x, 1/2",3 l,mm2
22,E23,0.2654,0.5308,0.3794,"x, 2x, z",6 n,m
23,E24,0.1809,0.4303,0.4669,"x, y, z",12 o,1
24,E25,0.3562,0.6439,0.3248,"x, 2x, z",6 n,m
25,E26,0.1872,0.3744,0.5,"x, 2x, 1/2",3 k,mm2
26,E27,0.0414,0.3216,0.5,"x, y, 1/2",6 m,m
