,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,3,0.0157,0.4243,0.1386,"x, y, z",48 j,1,1
1,V2,3,0.0816,0.1397,0.4875,"x, y, z",48 j,1,1
2,V3,3,0.0192,0.0848,0.3671,"x, y, z",48 j,1,1
3,V4,3,0.0182,0.2121,0.453,"x, y, z",48 j,1,1
4,V5,3,0.0127,0.2908,0.0613,"x, y, z",48 j,1,1
5,V6,3,0.0491,0.4787,0.2117,"x, y, z",48 j,1,1
6,V7,3,0.0803,0.4255,0.082,"x, y, z",48 j,1,1
7,V8,3,0.0908,0.0908,0.0908,"x, x, x",16 f,3,3
8,V9,3,0.0264,0.0991,0.147,"x, y, z",48 j,1,1
9,V10,3,0.0381,0.0581,0.2217,"x, y, z",48 j,1,1
