,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,6,12,18,29,39,54,75,102,124,463,7.7.7
1,V2,3,6,12,18,29,39,54,75,101,124,462,7.7.7
2,V3,3,6,12,18,29,39,54,75,102,124,463,7.7.7
3,V4,3,6,12,17,27,37,57,70,91,119,440,7.7.7
4,V5,3,6,12,17,27,37,57,70,91,121,442,7.7.7
5,V6,3,6,12,17,27,37,57,70,90,120,440,7.7.7
6,V7,3,6,12,18,30,36,51,78,106,130,471,7.7.7
7,V8,3,6,12,18,30,36,51,78,103,120,458,7.7.7
8,V9,3,6,12,18,29,39,54,75,101,123,461,7.7.7
9,V10,3,6,12,17,27,37,57,70,91,119,440,7.7.7
