,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.9987,0.4387,0.1754,"x, y, z",48 j,1
1,E2,0.0653,0.1757,0.5045,"x, y, z",48 j,1
2,E3,0.9984,0.2502,0.452,"x, y, z",48 j,1
3,E4,0.048,0.4249,0.1103,"x, y, z",48 j,1
4,E5,0.0326,0.25,0.4674,"x, 1/44, 1/2-x",24 i,2
5,E6,0.0018,0.1117,0.3957,"x, y, z",48 j,1
6,E7,0.1107,0.1107,0.5,"x, x, 1/2",24 h,2
7,E8,0.11,0.4565,0.0818,"x, y, z",48 j,1
8,E9,0.0322,0.0786,0.1843,"x, y, z",48 j,1
9,E10,0.0497,0.0354,0.2562,"x, y, z",48 j,1
10,E11,0.0127,0.0597,0.2562,"x, y, z",48 j,1
11,E12,0.0586,0.095,0.1189,"x, y, z",48 j,1
12,E13,0.0506,0.0825,0.3963,"x, y, z",48 j,1
13,E14,0.9967,0.3289,0.073,"x, y, z",48 j,1
14,E15,0.0,0.123,0.123,"0, y, y",24 h,2
15,E16,0.0352,0.4648,0.25,"x, 1/2-x, 1/4",24 i,2
