,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,3,0.021,0.139,0.0878,"x, y, z",48 j,1,1
1,V2,3,0.0108,0.065,0.213,"x, y, z",48 j,1,1
2,V3,3,0.0825,0.0825,0.0825,"x, x, x",16 f,3,3
3,V4,3,0.0867,0.0911,0.4084,"x, y, z",48 j,1,1
4,V5,3,0.0223,0.1432,0.3965,"x, y, z",48 j,1,1
5,V6,3,0.0297,0.3521,0.0949,"x, y, z",48 j,1,1
6,V7,3,0.0987,0.4712,0.1415,"x, y, z",48 j,1,1
7,V8,3,0.0298,0.2198,0.4292,"x, y, z",48 j,1,1
8,V9,3,0.0279,0.4315,0.2804,"x, y, z",48 j,1,1
9,V10,3,0.0405,0.2785,0.0566,"x, y, z",48 j,1,1
