,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,6,12,18,29,39,54,75,100,120,457,7.7.7
1,V2,3,6,12,17,27,37,57,70,89,117,436,7.7.7
2,V3,3,6,12,18,30,36,51,78,106,123,464,7.7.7
3,V4,3,6,12,18,30,36,51,78,99,124,458,7.7.7
4,V5,3,6,12,18,29,39,54,75,99,117,453,7.7.7
5,V6,3,6,12,18,29,39,54,75,98,118,453,7.7.7
6,V7,3,6,12,18,29,39,54,75,99,115,451,7.7.7
7,V8,3,6,12,17,27,37,57,70,88,119,437,7.7.7
8,V9,3,6,12,17,27,37,57,70,89,118,437,7.7.7
9,V10,3,6,12,17,27,37,57,70,87,119,436,7.7.7
