,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.1134,0.1134,"0, y, y",24 h,2
1,E2,0.0051,0.176,0.0764,"x, y, z",48 j,1
2,E3,0.0517,0.1107,0.0851,"x, y, z",48 j,1
3,E4,0.0337,0.0527,0.2458,"x, y, z",48 j,1
4,E5,0.9852,0.0608,0.2458,"x, y, z",48 j,1
5,E6,0.0545,0.1171,0.4025,"x, y, z",48 j,1
6,E7,0.0908,0.0604,0.3802,"x, y, z",48 j,1
7,E8,0.1141,0.0949,0.4398,"x, y, z",48 j,1
8,E9,0.9963,0.119,0.3743,"x, y, z",48 j,1
9,E10,0.026,0.1815,0.4128,"x, y, z",48 j,1
10,E11,0.0351,0.3153,0.0758,"x, y, z",48 j,1
11,E12,0.1201,0.5,0.1201,"x, 1/2, x",24 h,2
12,E13,0.0836,0.4717,0.1805,"x, y, z",48 j,1
13,E14,0.0503,0.25,0.4497,"x, 1/4, 1-x",24 i,2
14,E15,0.001,0.2501,0.4303,"x, y, z",48 j,1
15,E16,0.0482,0.4518,0.25,"x, 1/2-x, 1/4",24 i,2
