,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.3766,0.1108,0.0,"x, y, 0",4 g,m
1,E2,0.3713,0.9423,0.0,"x, y, 0",4 g,m
2,E3,0.3108,0.9653,0.0,"x, y, 0",4 g,m
3,E4,0.4568,0.2243,0.0,"x, y, 0",4 g,m
4,E5,0.3764,0.2769,0.0,"x, y, 0",4 g,m
5,E6,0.4166,0.2505,0.1465,"x, y, z",8 i,1
6,E7,0.0641,0.3011,0.0,"x, y, 0",4 g,m
7,E8,0.1731,0.3799,0.0,"x, y, 0",4 g,m
8,E9,0.994,0.1624,0.0,"x, y, 0",4 g,m
9,E10,0.9753,0.2191,0.8535,"x, y, z",8 i,1
10,E11,0.2942,0.3814,0.0,"x, y, 0",4 g,m
11,E12,0.4137,0.3902,0.0,"x, y, 0",4 g,m
12,E13,0.395,0.3335,0.1465,"x, y, z",8 i,1
13,E14,0.5,0.5,0.0,"1/2, 1/2, 0",2 a,2/m
14,E15,0.4538,0.3639,0.1465,"x, y, z",8 i,1
15,E16,0.4352,0.3072,0.5,"x, y, 1/2",4 h,m
