,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.196,0.3249,0.2291,"x, y, z",48 h,1
1,E2,0.1471,0.2614,0.2402,"x, y, z",48 h,1
2,E3,0.1071,0.3286,0.2669,"x, y, z",48 h,1
3,E4,0.1745,0.1749,0.2139,"x, y, z",48 h,1
4,E5,0.0954,0.2347,0.1811,"x, y, z",48 h,1
5,E6,0.0,0.5,0.2665,"0, 0, z",12 d,mm2
6,E7,0.0277,0.3966,0.2667,"x, y, z",48 h,1
7,E8,0.0,0.3486,0.267,"0, y, z",24 g,m
8,E9,0.0,0.255,0.1486,"0, y, z",24 g,m
9,E10,0.0277,0.2665,0.102,"x, y, z",48 h,1
10,E11,0.0,0.278,0.0,"0, y, 0",12 d,mm2
