,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.5419,0.0349,"0, y, z",12 k,m
1,E2,0.0653,0.5326,0.0,"2y, y, 0",12 i,2
2,E3,0.0327,0.5103,0.0445,"x, y, z",24 l,1
3,E4,0.0327,0.5642,0.9904,"x, y, z",24 l,1
4,E5,0.0907,0.6257,0.067,"x, y, z",24 l,1
5,E6,0.3895,0.0,0.0525,"x, 0, z",12 k,m
6,E7,0.0,0.2764,0.124,"0, y, z",12 k,m
7,E8,0.1307,0.3421,0.1235,"x, y, z",24 l,1
8,E9,0.0327,0.321,0.0874,"x, y, z",24 l,1
9,E10,0.2596,0.4071,0.111,"x, y, z",24 l,1
10,E11,0.3044,0.4298,0.1487,"x, y, z",24 l,1
11,E12,0.2409,0.3977,0.1606,"x, y, z",24 l,1
12,E13,0.2857,0.4203,0.25,"x, y, 1/4",12 j,m
