,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0331,0.1893,0.0941,"x, y, z",4 o,1
1,E2,0.1829,0.3124,0.0355,"x, y, z",4 o,1
2,E3,0.1585,0.3117,0.4648,"x, y, z",4 o,1
3,E4,0.1039,0.1885,0.5863,"x, y, z",4 o,1
4,E5,0.2471,0.1892,0.2245,"x, y, z",4 o,1
5,E6,0.3724,0.3124,0.3452,"x, y, z",4 o,1
6,E7,0.3968,0.3124,0.1659,"x, y, z",4 o,1
7,E8,0.6101,0.1892,0.2941,"x, y, z",4 o,1
8,E9,0.0662,0.0,0.1882,"x, 0, z",2 m,m
9,E10,0.9292,0.1268,0.2578,"x, y, z",4 o,1
10,E11,0.5,0.3732,0.5,"1/2, y, 1/2",2 l,2
11,E12,0.3169,0.5,0.4296,"x, 1/2, z",2 m,m
12,E13,0.5,0.3732,0.0,"1/2, y, 0",2 j,2
13,E14,0.3657,0.5,0.071,"x, 1/2, z",2 n,m
14,E15,0.2078,0.0,0.6725,"x, 0, z",2 m,m
