,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,6,0.0694,0.0694,0.0972,"x, x, z",8 j,m,2
1,V2,6,0.3868,0.3868,0.4396,"x, x, z",8 j,m,2
2,V3,6,0.0415,0.1794,0.0,"x, y, 0",8 i,m,2
3,V4,6,0.1814,0.3198,0.2546,"x, y, z",16 k,1,1
4,V5,6,0.0992,0.237,0.3496,"x, y, z",16 k,1,1
5,V6,5,0.0012,0.241,0.2472,"x, y, z",16 k,1,1
6,V7,6,0.1527,0.1527,0.1937,"x, x, z",8 j,m,2
7,V8,6,0.07,0.07,0.2891,"x, x,z",8 j,m,2
8,V9,5,0.2889,0.2889,0.353,"x, x, z",8 j,m,2
9,V10,3,0.2573,0.4741,0.0593,"x, y, z",16 k,1,1
10,V11,3,0.1659,0.6615,0.5,"x, y, 0",8 i,m,2
