,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,6,15,28,48,74,115,164,185,263,336,1235,3.3.3.3.3.5.5.5.5.5.6.6.6.8.8
1,V2,6,14,30,45,80,118,139,209,256,314,1212,3.3.3.3.3.5.5.5.5.5.6.6.8(2).11.11
2,V3,6,12,28,53,64,114,165,176,257,332,1208,3.3.3.3.3.5.5.5.5.5.8.8.10(2).11.11
3,V4,6,12,30,49,71,116,155,198,264,319,1221,3.3.3.3.3.4.4.5.5(2).5(2).6.6.8.8.11
4,V5,6,10,26,48,68,109,152,179,247,327,1173,3.3.3.3.3.4.4.5.5(2).5(2).8.8.8.10.11
5,V6,5,13,26,49,68,105,158,190,262,303,1180,3.3.3.3.5(3).5(3).6.6.8.8
6,V7,6,13,33,46,75,123,141,219,260,296,1213,3.3.3.3.3.4.4.5.5(2).5(2).6.6.6.8.8
7,V8,6,13,27,43,78,110,146,193,250,316,1183,3.3.3.3.3.4.4.5.5(2).5(2).6.6.6.10.10
8,V9,5,13,24,48,71,101,159,188,241,329,1180,3.3.3.3.5(3).5(3).6.6.8.8
9,V10,3,7,18,39,70,98,124,180,242,276,1058,3.8.8(2)
10,V11,3,7,20,40,70,90,133,187,227,283,1061,3.8.8
