,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.0,0.0972,"0, 0, z",4 e,mm2
1,E2,0.9781,0.0913,0.0788,"x, y, z",16 k,1
2,E3,0.0555,0.1244,0.0486,"x, y, z",16 k,1
3,E4,0.111,0.111,0.1455,"x, x, z",8 j,m
4,E5,0.3868,0.3868,0.5,"x, x, 1/2",4 g,mm2
5,E6,0.3537,0.4642,0.4698,"x, y, z",16 k,1
6,E7,0.3378,0.3378,0.3963,"x, x, z",8 j,m
7,E8,0.1104,0.1105,0.0,"x, x, 0",4 f,mm2
8,E9,0.1015,0.2567,0.0,"x, y, 0",8 i,m
9,E10,0.2506,0.2506,0.2546,"x, x, z",8 j,m
10,E11,0.1403,0.2784,0.3021,"x, y, z",16 k,1
11,E12,0.0913,0.2804,0.2509,"x, y, z",16 k,1
12,E13,0.2202,0.4105,0.2537,"x, y, z",16 k,1
13,E14,0.167,0.2362,0.2242,"x, y, z",16 k,1
14,E15,0.2351,0.3043,0.3038,"x, y, z",16 k,1
15,E16,0.1681,0.1681,0.3496,"x, x, z",8 j,m
16,E17,0.0502,0.239,0.2984,"x, y, z",16 k,1
17,E18,0.0846,0.1535,0.3193,"x, y, z",16 k,1
18,E19,0.194,0.2629,0.3513,"x, y, z",16 k,1
19,E20,0.0367,0.2399,0.3952,"x, y, z",16 k,1
20,E21,0.0769,0.1968,0.2205,"x, y, z",16 k,1
21,E22,0.0356,0.1555,0.2681,"x, y, z",16 k,1
22,E23,0.1113,0.1113,0.2414,"x, x, z",8 j,m
23,,0.0,0.0,0.2891,"0, 0, z",4 e,mm2
24,E25,0.2573,0.4741,0.0,"x, y, 0",8 i,m
25,E26,0.2094,0.4041,0.0297,"x, y, z",16 k,1
