,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0112,0.1702,0.4013,"x, y, z",12 b,1
1,E2,0.076,0.1875,0.3682,"x, y, z",12 b,1
2,E3,0.0123,0.1895,0.3291,"x, y, z",12 b,1
3,E4,0.0542,0.0502,0.3532,"x, y, z",12 b,1
4,E5,0.9538,0.7339,0.0811,"x, y, z",12 b,1
5,E6,0.0174,0.7359,0.1203,"x, y, z",12 b,1
6,E7,0.0652,0.7015,0.9914,"x, y, z",12 b,1
7,E8,0.0474,0.2532,0.3466,"x, y, z",12 b,1
8,E9,0.1818,0.2751,0.3797,"x, y, z",12 b,1
9,E10,0.0497,0.7977,0.2443,"x, y, z",12 b,1
10,E11,0.3509,0.3742,0.4115,"x, y, z",12 b,1
11,E12,0.2831,0.3669,0.381,"x, y, z",12 b,1
12,E13,0.3063,0.4042,0.3204,"x, y, z",12 b,1
13,E14,0.3131,0.2757,0.3363,"x, y, z",12 b,1
14,E15,0.1435,0.8785,0.3181,"x, y, z",12 b,1
15,E16,0.0533,0.848,0.3643,"x, y, z",12 b,1
16,E17,0.0753,0.9084,0.3259,"x, y, z",12 b,1
17,E18,0.0455,0.9162,0.3941,"x, y, z",12 b,1
