,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0209,0.796,0.1239,"x, y, z",12 b,1
1,E2,0.0026,0.7364,0.1622,"x, y, z",12 b,1
2,E3,0.0337,0.6731,0.0473,"x, y, z",12 b,1
3,E4,0.1974,0.6933,0.5012,"x, y, z",12 b,1
4,E5,0.068,0.6373,0.4697,"x, y, z",12 b,1
5,E6,0.0394,0.1892,0.2228,"x, y, z",12 b,1
6,E7,0.9427,0.0205,0.5796,"x, y, z",12 b,1
7,E8,0.1183,0.0974,0.1563,"x, y, z",12 b,1
8,E9,0.0306,0.1276,0.1103,"x, y, z",12 b,1
9,E10,0.0514,0.0687,0.1484,"x, y, z",12 b,1
10,E11,0.0226,0.0607,0.0816,"x, y, z",12 b,1
