,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.254,0.254,0.0,"x, x, 0",6 j,mm2
1,E2,0.1778,0.3556,0.0598,"x, 2x, z",12 o,m
2,E3,0.0931,0.3629,0.1675,"x, y, z",24 r,1
3,E4,0.2598,0.5196,0.0899,"x, 2x, z",12 o,m
4,E5,0.0,0.5,0.2154,"0, 1/2, z",6 i,mm2
5,E6,0.0,0.3234,0.2743,"0, y, z",12 n,m
6,E7,0.3333,0.6667,0.0,"1/3, 2/3, 0",2 c,-6m2
7,E8,0.8533,0.1467,0.3331,"x, 1-x, z",12 o,m
8,E9,0.0,0.3967,0.3758,"0, y, z",12 n,m
9,E10,0.8334,0.4167,0.4291,"2y, y, z",12 o,m
10,E11,0.3333,0.6667,0.5,"1/3, 2/3, 1/2",2 d,-6m2
