,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.6667,0.3333,0.25,"2/3, 1/3, 1/4",2 d,-6m2
1,E2,0.7912,0.3956,0.1577,"2y, y, z",12 k,m
2,E3,0.0,0.0,0.25,"0, 0, 1/4",2 b,-6m2
3,E4,0.8744,0.9372,0.3407,"2y, y, z",12 k,m
4,E5,0.5295,0.6641,0.25,"x, y, 1/4",12 j,m
5,E6,0.6702,0.8351,0.1941,"2y, y, z",12 k,m
6,E7,0.5048,0.4952,0.1925,"x, 1-x, z",12 k,m
7,E8,0.4368,0.068,0.0996,"x, y, z",24 l,1
8,E9,0.0369,0.2654,0.1012,"x, y, z",24 l,1
9,E10,0.8342,0.6684,0.0641,"x, 2x, z",12 k,m
10,E11,0.6944,0.6944,0.0,"x, x, 0",12 i,2
