,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,6,0.6667,0.3333,0.25,"2/3, 1/3, 1/4",2 c,-6m2,12
1,V2,6,0.7906,0.3953,0.157,"2y, y, z",12 k,m,2
2,V3,6,0.0,0.0,0.25,"0, 0, 1/4",2 b,-6m2,12
3,V4,6,0.8762,0.9381,0.3427,"2y, y, z",12 k,m,2
4,V5,6,0.5199,0.6667,0.25,"x, y, 1/4",12 j,m,2
5,V6,6,0.672,0.836,0.1929,"2y, y, z",12 k,m,2
6,V7,6,0.5028,0.4972,0.1925,"x, 1-x, z",12 k,m,2
7,V8,6,0.4388,0.0642,0.097,"x, y, z",24 l,1,1
8,V9,6,0.0407,0.2685,0.099,"x, y, z",24 l,1,1
9,V10,6,0.8339,0.6678,0.0595,"x, 2x, z",12 k,m,2
10,V11,6,0.6762,0.6762,0.0,"x, x, 0",12 i,2,2
