,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,6,18,36,78,111,180,258,309,384,522,1903,3.3.3.3.3.3.5.5.5.10.10.10.10.10.10
1,V2,6,18,37,77,118,172,257,316,396,528,1926,3.3.3.3.3.3.5.5.5.10.10.10.10.12.12
2,V3,6,18,36,72,111,152,276,327,372,480,1851,3.3.3.3.3.3.5.5.5.10.10.10.10.10.10
3,V4,6,18,36,75,108,170,256,326,386,498,1880,3.3.3.3.3.3.5.5.5.10.10.10.10.10.10
4,V5,6,18,39,80,117,176,246,324,421,528,1956,3.3.3.3.3.3.5.5.6.10.10.12.12.12.12
5,V6,6,18,37,76,119,169,245,328,410,505,1914,3.3.3.3.3.3.5.5.5.10.10.10.10.12.12
6,V7,6,18,38,77,125,180,237,330,414,535,1961,3.3.3.3.3.3.5.5.5.10.10.10.10.12.12
7,V8,6,18,39,80,118,174,247,329,418,522,1952,3.3.3.3.3.3.5.5.6.10.10.12.12.12.12
8,V9,6,18,37,77,114,178,245,320,412,519,1927,3.3.3.3.3.3.5.5.5.10.10.10.10.12.12
9,V10,6,18,38,76,129,173,237,333,422,520,1953,3.3.3.3.3.3.5.5.5.10.10.10.10.12.12
10,V11,6,18,39,80,117,176,246,324,423,526,1956,3.3.3.3.3.3.5.5.6.10.10.12.12.12.12
