,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.6357,0.2714,0.2035,"x, 2x, z",12 k,m
1,E2,0.6977,0.3023,0.157,"x, 1-x, z",12 k,m
2,E3,0.8926,0.4463,0.1748,"2y, y, z",12 k,m
3,E4,0.8632,0.3849,0.127,"x, y, z",24 l,1
4,E5,0.031,0.062,0.2964,"x, 2x, z",12 k,m
5,E6,0.969,0.031,0.3427,"x, 1-x, z",12 k,m
6,E7,0.774,0.887,0.3249,"2y, y, z",12 k,m
7,E8,0.8039,0.8552,0.3719,"x, y, z",24 l,1
8,E9,0.4266,0.5734,0.25,"x, 1-x, 1/4",6 h,mm2
9,E10,0.52,0.76,0.25,"2y, y, 1/4",6 h,mm2
10,E11,0.5959,0.7513,0.2214,"x, y, z",24 l,1
11,E12,0.5114,0.5819,0.2213,"x, y, z",24 l,1
12,E13,0.6718,0.8359,0.25,"2y, y, 1/4",6 h,mm2
13,E14,0.7017,0.8041,0.1459,"x, y, z",24 l,1
14,E15,0.5028,0.4972,0.25,"x, 1-x, 1/4",6 h,mm2
15,E16,0.5641,0.5292,0.1448,"x, y, z",24 l,1
16,E17,0.5321,0.0642,0.097,"x, 2x, z",12 k,m
17,E18,0.3333,0.0118,0.098,"x, y, z",24 l,1
18,E19,0.3855,0.1152,0.0782,"x, y, z",24 l,1
19,E20,0.3813,0.0321,0.0485,"x, y, z",24 l,1
20,E21,0.1342,0.2684,0.099,"x, 2x, z",12 k,m
21,E22,0.9373,0.2173,0.0792,"x, y, z",24 l,1
22,E23,0.0203,0.2962,0.0495,"x, y, z",24 l,1
23,E24,0.9169,0.672,0.0298,"x, y, z",24 l,1
