,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.5,0.3536,0.0732,"1/2, y, z",8 l,m
1,E2,0.3536,0.3536,0.0,"x, x, 0",4 j,mm2
2,E3,0.25,0.3536,0.125,"x, y, z",16 u,1
3,E4,0.25,0.25,0.1768,"x, x, z",8 l,m
4,E5,0.0,0.3536,0.1768,"0, y, z",8 s,m
5,E6,0.1464,0.5,0.1768,"x, 1/2, z",8 t,m
6,E7,0.1464,0.3536,0.25,"x, y, z",16 u,1
7,E8,0.25,0.25,0.3232,"x, x, z",8 r,m
8,E9,0.0,0.3536,0.3232,"0, y, z",8 s,m
9,E10,0.1464,0.5,0.3232,"x, 1/2, z",8 l,m
10,E11,0.2197,0.4268,0.375,"x, y, z",16 u,1
11,E12,0.3965,0.3964,0.4268,"x, x, z",8 r,m
12,E13,0.5,0.2929,0.5,"1/2, y, 1/2",4 o,mm2
