,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.25,0.5041,0.51,"1/4, y, z",8 i,m
1,E2,0.2217,0.5488,0.5839,"x, y, z",16 k,1
2,E3,0.1367,0.5021,0.5061,"x, y, z",16 k,1
3,E4,0.1434,0.75,0.2442,"x, 3/4, z",8 i,m
4,E5,0.25,0.75,0.1464,"1/4, 3/4, z",4 f,mm2
5,E6,0.2217,0.7783,0.0,"x, 1-x, 0",8 g,2
6,E7,0.04,0.46,0.5022,"x, 1-x, z",8 i,m
7,E8,0.04,0.54,0.5,"x, 1/2+x, 1/2",8 h,2
8,E9,0.0404,0.4997,0.3546,"x, y, z",16 k,1
9,E10,0.0398,0.5003,0.6476,"x, y, z",16 k,1
10,E11,0.0,0.0,0.0,"0, 0, 0",4 d,2/m
