,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,3,0.1287,0.2879,0.2879,"x, y, y",96 g,m,2
1,V2,3,0.2672,0.2672,0.2672,"x, x, x",32 e,3m,6
2,V3,3,0.2753,0.2753,0.3133,"x, x, z",96 g,m,2
3,VV4,3,0.061,0.162,0.3906,"x, y, z",192 i,1,1
4,V5,3,0.1112,0.1112,0.6112,"x, x, x",32 e,3m,6
5,V6,3,0.0723,0.1777,0.3548,"x, 1/4-, z",96 g,m,2
6,V7,6,0.3282,0.3282,0.3282,"x, x, x",32 e,3m,6
7,V8,6,0.125,0.125,0.3713,"1/8, 1/8, z",48 f,mm2,4
8,V9,6,0.2039,0.2975,0.2975,"x, y, y",96 g,m,2
9,V10,6,0.0,0.1549,0.3451,"0, y, 1/2-y",96 h,2,2
