,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,12,10,33,28,80,53,146,101,238,705,4.4.4
1,V2,3,12,10,33,27,76,54,144,93,231,684,4.4.4
2,V3,3,12,10,33,27,76,53,140,91,223,669,4.4.4
3,VV4,3,12,10,33,27,78,55,146,96,236,697,4.4.4
4,V5,3,12,10,33,27,76,51,132,93,226,664,4.4.4
5,V6,3,12,10,33,28,80,54,146,98,240,705,4.4.4
6,V7,6,6,20,18,54,36,102,75,180,111,609,4.4.4.4.4.4.10(8).10(8).10(8).10(8).10(8).10(8).10(16).10(16).10(16)
7,V8,6,6,20,18,54,38,110,76,196,129,654,4.4.4.4.4.4.10(8).10(8).10(8).10(8).10(8).10(8).10(16).10(16).10(16)
8,V9,6,6,20,18,54,37,106,77,190,115,630,4.4.4.4.4.4.10(8).10(8).10(8).10(8).10(8).10(8).10(16).10(16).10(16)
9,V10,6,6,20,18,56,39,110,80,196,117,649,4.4.4.4.4.4.10(8).10(8).10(8).10(8).10(8).10(8).12(16).12(16).12(16)
