,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.1663,0.2927,0.2927,"x, y, y",96 g,m
1,E2,0.0542,0.1823,0.4222,"x, y, z",192 i,1
2,E3,0.0986,0.1514,0.363,"x, 1/4-x, z",92 g,m
3,E4,0.3447,0.3447,0.3585,"x, x, z",92 g,m
4,E5,0.2396,0.2864,0.3054,"x, y, z",192 i,1
5,E6,0.019,0.1835,0.3619,"x, y, z",196 i,1
6,E7,0.0361,0.1663,0.3499,"x, y, z",196 i,1
7,E8,0.2356,0.2823,0.2823,"x, y, y",96 g,m
8,E9,0.093,0.1435,0.3809,"x, y, z",192 i,1
9,E10,0.0305,0.1585,0.3679,"x, y, z",192 i,1
10,E11,0.3018,0.3018,0.3208,"x, x, z",96 g,m
