,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0245,0.0897,0.4178,"x, y, z",192 i,1,1
1,V2,4,0.1129,0.1129,0.3977,"x, x, z",96 g,m,2
2,V3,4,0.0049,0.0703,0.3977,"x, y, z",192 i,1,1
3,V4,4,0.0387,0.0387,0.3166,"x, x, z",96 g,m,2
4,V5,4,0.0467,0.0708,0.3085,"x, y, z",192 i,1,1
5,V6,4,0.0318,0.0318,0.2839,"x, x, z",96 g,m,2
6,V7,4,0.0398,0.0639,0.2759,"x, y, z",192 i,1,1
7,V8,4,0.0616,0.0616,0.1643,"x, x,z",96 g,m,2
8,V9,4,0.0813,0.0813,0.1446,"x, x, z",96 g,m,2
9,V10,4,0.0149,0.1011,0.3872,"x, y, z",192 i,1,1
10,V11,4,0.1009,0.125,0.3681,"x, y, z",192 i,1,1
11,V12,3,0.0573,0.0814,0.4132,"x, y, z",192 i,1,1
12,V13,3,0.0895,0.0895,0.4058,"x, x, z",96 g,m,2
13,V14,3,0.0266,0.0507,0.3802,"x, y, z",192 i,1,1
14,V15,3,0.0387,0.0387,0.3507,"x, x, z",96 g,m,2
15,V16,3,0.0546,0.0899,0.3357,"x, y, z",192 i,1,1
16,V17,3,0.0728,0.1091,0.3572,"x, y, z",192 i,1,1
17,V18,3,0.0406,0.1008,0.3647,"x, y, z",192 i,1,1
18,V19,3,0.0196,0.0196,0.2545,"x, x, z",96 g,m,2
19,V20,3,0.0311,0.007,0.185,"x, y, z",192 i,1,1
20,V21,3,0.0387,0.0387,0.1749,"x, x, z",96 g,m,2
21,V22,3,0.1624,0.1624,0.1117,"x, x, z",96 g,m,2
