,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,7,10,14,19,23,29,39,53,66,265,3.20.4.8.4.8
1,V2,4,7,10,14,19,23,29,39,53,65,264,3.20(2).4.8.4.8
2,V3,4,7,10,14,19,23,29,39,53,66,265,3.20.4.8.4.8
3,V4,4,7,10,14,19,23,29,39,53,65,264,3.20(2).4.8.4.8
4,V5,4,7,10,14,19,23,29,39,53,65,264,3.20(2).4.8.4.8
5,V6,4,7,10,14,19,23,29,39,53,65,264,3.20(2).4.8.4.8
6,V7,4,7,10,14,19,23,29,39,53,65,264,3.20(2).4.8.4.8
7,V8,4,7,10,14,19,23,29,39,53,65,264,3.20(2).4.8.4.8
8,V9,4,7,10,14,19,23,29,39,53,65,264,3.20(2).4.8.4.8
9,V10,4,7,10,14,19,23,29,39,53,65,264,3.20(2).4.8.4.8
10,V11,4,7,10,14,19,23,29,39,53,65,264,3.20(2).4.8.4.8
11,V12,3,5,11,16,17,23,30,39,47,64,256,3.8.8
12,V13,3,5,11,16,17,23,30,39,47,63,255,3.8.8
13,V14,3,5,11,16,17,23,30,39,47,64,256,3.8.8
14,V15,3,5,11,16,17,23,30,39,47,63,255,3.8.8
15,V16,3,5,11,16,17,23,30,39,47,63,255,3.8.8
16,V17,3,5,11,16,17,23,30,39,47,63,255,3.8.8
17,V18,3,5,11,16,17,23,30,39,47,63,255,3.8.8
18,V19,3,5,11,16,17,23,30,39,47,63,255,3.8.8
19,V20,3,5,11,16,17,23,30,39,47,63,255,3.8.8
20,V21,3,5,11,16,17,23,30,39,47,63,255,3.8.8
21,V22,3,5,11,16,17,23,30,39,47,63,255,3.8.8
