,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0147,0.08,0.4078,"x, y, z",192 i,1
1,E2,0.0098,0.096,0.4237,"x, y, z",192 i,1
2,E3,0.0197,0.0954,0.4025,"x, y, z",192 i,1
3,E4,0.0409,0.0855,0.4155,"x, y, z",192 i,1
4,E5,0.125,0.125,0.3977,"1/8, 1/8, z",48 i,mm2
5,E6,0.1069,0.1189,0.3829,"x, y, z",192 i,1
6,E7,0.1012,0.1012,0.4018,"x, x, z",96 g,m
7,E8,0.0099,0.0857,0.3924,"x, y, z",192 i,1
8,E9,0.0157,0.0605,0.3889,"x, y, z",192 i,1
9,E10,0.0427,0.0548,0.3126,"x, y, z",192 i,1
10,E11,0.0353,0.0353,0.3002,"x, x, z",96 g,m
11,E12,0.0387,0.0387,0.3336,"x, x, z",96 g,m
12,E13,0.0588,0.0587,0.3085,"x, x, z",96 g,m
13,E14,0.0432,0.0674,0.2922,"x, y, z",192 i,1
14,E15,0.0507,0.0804,0.3221,"x, y, z",192 i,1
15,E16,0.0358,0.0478,0.2799,"x, y, z",192 i,1
16,E17,0.0257,0.0257,0.2692,"x, x, z",96 g,m
17,E18,0.0518,0.0518,0.2759,"x, x, z",96 g,m
18,E19,0.0355,0.0645,0.2595,"x, y, z",192 i,1
19,E20,0.0616,0.0736,0.1764,"x, y, 1/4-y",96 h,2
20,E21,0.0715,0.0715,0.1544,"x, x, z",96 g,m
21,E22,0.0502,0.0502,0.1696,"x, x, z",96 g,m
22,E23,0.0813,0.0934,0.1566,"x, y, 1/4-y",96 h,2
23,E24,0.0844,0.0844,0.1282,"x, x, z",96 g,m
24,E25,0.0,0.107,0.3931,"0, y, z",96 h,2
25,E26,0.0278,0.101,0.376,"x, y, z",192 i,1
26,E27,0.1129,0.1129,0.3681,"x, x, z",96 g,m
27,E28,0.1129,0.1371,0.3681,"x, y, 1/4-x",96 h,2
28,E29,0.0868,0.1171,0.3626,"x, y, z",192 i,1
29,E30,0.0693,0.0694,0.4132,"x, x, z",96 g,m
30,E31,0.0734,0.0854,0.4095,"x, y, z",192 i,1
31,E32,0.0386,0.0386,0.3802,"x, x, z",96 g,m
32,E33,0.0327,0.0447,0.3654,"x, y, z",192 i,1
33,E34,0.0637,0.0995,0.3464,"x, y, z",192 i,1
34,E35,0.0476,0.0954,0.3502,"x, y, z",192 i,1
35,E36,0.0567,0.105,0.361,"x, y, z",192 i,1
36,E37,0.0196,0.0076,0.2425,"x, y, 1/4-y",96 h,2
37,E38,0.019,0.0191,0.185,"x, x, z",96 g,m
38,E39,0.0349,0.0229,0.18,"x, y, z",192 i,1
39,E40,0.1624,0.1504,0.0996,"x, y, 1/4-y",96 h,2
