,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,8,12,16,26,36,44,64,84,86,381,3.15(2).8.8.8.8
1,V2,4,8,12,16,26,36,44,64,84,87,382,3.15(2).8.8.8.8
2,V3,4,8,12,16,26,36,44,64,85,90,386,3.15(2).8.8.8.8
3,V4,4,8,12,16,26,36,44,64,90,90,391,3.15(2).8.8.8.8
4,V5,4,8,12,16,26,36,44,67,89,92,395,3.15.8.8.8.8
5,V6,4,8,12,16,26,36,44,64,84,88,383,3.15(2).8.8.8.8
6,V7,4,8,12,16,26,36,44,64,86,94,391,3.15(2).8.8.8.8
7,V8,3,5,12,20,23,32,49,59,72,101,377,3.8.8
8,V9,3,5,12,20,23,32,49,59,72,101,377,3.8.8
9,V10,3,5,12,20,23,32,49,59,72,101,377,3.8.8
10,V11,3,5,12,20,23,32,49,59,72,102,378,3.8.8
11,V12,3,5,12,20,23,32,49,61,77,107,390,3.8.8
12,V13,3,5,12,20,23,32,49,60,76,106,387,3.8.8
13,V14,3,5,12,20,23,32,49,59,72,107,383,3.8.8
14,V15,3,5,12,20,23,32,49,59,72,102,378,3.8.8
15,V16,3,5,12,20,23,32,49,59,72,102,378,3.8.8
16,V17,3,5,12,20,23,32,49,61,77,107,390,3.8.8
17,V18,3,5,12,20,23,32,49,60,76,107,388,3.8.8
