,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0681,0.0833,0.1667,"x, y, 1/4-y",96 g,m
1,E2,0.0764,0.0764,0.1333,"x, x, z",96 g,m
2,E3,0.0535,0.0535,0.1576,"x, x, z",96 g,m
3,E4,0.0545,0.0545,0.2931,"x, x, z",96 g,m
4,E5,0.0342,0.0495,0.2985,"x, y, z",192 i,1
5,E6,0.034,0.0724,0.2724,"x, y, z",192 i,1
6,E7,0.0448,0.0819,0.3099,"x, y, z",192 i,1
7,E8,0.0212,0.0212,0.2856,"x, x, z",96 g,m
8,E9,0.0294,0.0294,0.3256,"x, x, z",96 g,m
9,E10,0.0066,0.1025,0.4096,"x, y, z",192 i,1
10,E11,0.017,0.1094,0.377,"x, y, z",192 i,1
11,E12,0.0,0.0832,0.4168,"0, y, 1/2-y",96 h,2
12,E13,0.9992,0.1054,0.4417,"x, y, z",192 i,1
13,E14,0.0339,0.0903,0.4257,"x, y, z",192 i,1
14,E15,0.125,0.125,0.3653,"1/8, 1/8, z",48 f,mm2
15,E16,0.1174,0.1326,0.384,"x, 1/4-x, z",96 g,m
16,E17,0.0921,0.1297,0.359,"x, y, z",192 i,1
17,E18,0.1102,0.1102,0.4077,"x, x, z",96 g,m
18,E19,0.0847,0.1,0.1,"x, y, y",96 g,m
19,E20,0.0136,0.0751,0.2364,"x, y, 1/4-x",96 g,m
20,E21,0.0339,0.0807,0.2314,"x, y, z",192 i,1
21,E22,0.0133,0.998,0.252,"x, y, 1/4-y",96 g,m
22,E23,0.0301,0.0301,0.3845,"x, x, z",96 g,m
23,E24,0.0222,0.0374,0.3658,"x, y, z",192 i,1
24,E25,0.0422,0.1016,0.3452,"x, y, z",192 i,1
25,E26,0.0541,0.1142,0.3581,"x, y, z",192 i,1
26,E27,0.0624,0.1066,0.3397,"x, y, z",192 i,1
27,E28,0.07,0.07,0.4227,"x, x, z",96 g,m
28,E29,0.0751,0.0903,0.4178,"x, y, z",192 i,1
