,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.4599,0.1251,0.0401,"x, y, z",48 h,1,1
1,V2,4,0.3897,0.1638,0.0401,"x, y, z",48 h,1,1
2,V3,4,0.3603,0.2129,0.0962,"x, y, z",48 h,1,1
3,V4,4,0.3756,0.2388,0.1705,"x, y, z",48 h,1,1
4,V5,4,0.3221,0.2773,0.1249,"x, y, z",48 h,1,1
5,V6,4,0.4103,0.3056,0.1428,"x, y, z",48 h,1,1
6,V7,4,0.3479,0.3532,0.1267,"x, y, z",48 h,1,1
7,V8,4,0.4599,0.3636,0.1184,"x, y, z",48 h,1,1
8,V9,4,0.3974,0.4095,0.0983,"x, y, z",48 h,1,1
9,V10,3,0.4599,0.3405,0.1952,"x, y, z",48 h,1,1
