,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.4599,0.1251,0.0,"x, y, 0",24 g,m
1,E2,0.5,0.1251,0.0401,"1/2, y, z",24 g,m
2,E3,0.4248,0.1445,0.0401,"x, y, z",48 h,1
3,E4,0.4308,0.1139,0.0653,"x, y, z",48 h,1
4,E5,0.3897,0.1638,0.0,"x, y, 0",24 g,m
5,E6,0.375,0.1883,0.0681,"x, y, z",48 h,1
6,E7,0.3957,0.1332,0.0653,"x, y, z",48 h,1
7,E8,0.368,0.2259,0.1334,"x, y, z",48 h,1
8,E9,0.3412,0.2451,0.1106,"x, y, z",48 h,1
9,E10,0.3668,0.1825,0.1215,"x, y, z",48 h,1
10,E11,0.3488,0.258,0.1477,"x, y, z",48 h,1
11,E12,0.3754,0.2084,0.1966,"x, y, z",48 h,1
12,E13,0.3929,0.2722,0.1567,"x, y, z",48 h,1
13,E14,0.335,0.3152,0.1258,"x, y, z",48 h,1
14,E15,0.3791,0.3294,0.1347,"x, y, z",48 h,1
15,E16,0.4351,0.3346,0.1306,"x, y, z",48 h,1
16,E17,0.4351,0.323,0.169,"x, y, z",48 h,1
17,E18,0.3726,0.3814,0.1125,"x, y, z",48 h,1
18,E19,0.5,0.3636,0.1184,"1/2, y, z",24 g,m
19,E20,0.4286,0.3866,0.1083,"x, y, z",48 h,1
20,E21,0.4599,0.352,0.1568,"x, y, z",48 h,1
21,E22,0.5,0.3405,0.1952,"1/2, y, z",24 g,m
