,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.4395,0.0,0.4367,"x, 0, z",12 k,m
1,E2,0.5424,0.0848,0.5,"x, 2x, 1/2",12 i,2
2,E3,0.5161,0.1292,0.3433,"x, y, z",24 l,1
3,E4,0.4425,0.114,0.5022,"x, y, z",24 l,1
4,E5,0.134,0.067,0.0,"2y, y, 0",12 i,2
5,E6,0.2009,0.2009,0.0923,"x, x, z",12 k,m
6,E7,0.067,0.067,0.0923,"x, x, z",12 k,m
7,E8,0.2678,0.0,0.75,"x, 0, 3/4",6 g,mm2
8,E9,0.3355,0.0716,0.6031,"x, y, z",24 l,1
9,E10,0.2939,0.7695,0.25,"x, y, 1/4",12 j,m
10,E11,0.4393,0.8078,0.25,"x, y, 1/4",12 j,m
11,E12,0.0,0.0,0.25,"0, 0, 1/4",2 a,-6m2
12,E13,0.2016,0.7984,0.0,"x, 1-x, 0",12 i,2
13,E14,0.1771,0.7263,0.1588,"x, y, z",24 l,1
