,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0127,0.3516,0.0873,"x, y, z",18 f,1
1,E2,0.3343,0.2454,0.2474,"x, y, z",18 f,1
2,E3,0.0308,0.3331,0.2539,"x, y, z",18 f,1
3,E4,0.3322,0.1152,0.0043,"x, y, z",18 f,1
4,E5,0.9941,0.315,0.9206,"x, y, z",18 f,1
5,E6,0.054,0.3332,0.0015,"x, y, z",18 f,1
6,E7,0.3333,0.1667,0.1667,"1/3, 1/6. 1/6",9 d,-1
7,E8,0.0127,0.3459,0.8373,"x, y, z",18 f,1
8,E9,0.0308,0.3331,0.7539,"x, y, z",18 f,1
9,E10,0.3331,0.1102,0.2508,"x, y, z",18 f,1
10,E11,0.9992,0.3983,0.1717,"x, y, z",18 f,1
