,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.502,0.3333,"0, y, 1/3",3 a,2
1,E2,0.3268,0.6915,0.0735,"x, y, z",6 c,1
2,E3,0.2251,0.6127,0.1642,"x, y, z",6 c,1
3,E4,0.6028,0.201,0.336,"x, y, z",6 c,1
4,E5,0.1554,0.5799,0.4214,"x, y, z",6 c,1
5,E6,0.1126,0.5573,0.2503,"x, y, z",6 c,1
6,E7,0.1006,0.5535,0.5001,"x, y, z",6 c,1
7,E8,0.3266,0.6353,0.2402,"x, y, z",6 c,1
8,E9,0.2707,0.6355,0.9069,"x, y, z",6 c,1
9,E10,0.2707,0.6355,0.4069,"x, y, z",6 c,1
10,E11,0.3206,0.6414,0.9903,"x, y, z",6 c,1
