,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,8,14,20,29,42,52,66,84,102,422,3.10.4.6.4.6
1,V2,4,8,14,20,29,42,52,66,86,108,430,3.10.4.6.4.6
2,V3,4,8,14,20,29,42,52,66,84,104,424,3.10.4.6.4.6
3,V4,4,8,14,20,29,43,55,70,91,111,446,3.10.4.6.4.6
4,V5,4,8,14,20,29,42,53,70,91,112,444,3.10.4.6.4.6
5,V6,4,8,14,20,29,42,52,68,88,108,434,3.10.4.6.4.6
6,V7,4,8,14,20,29,42,52,68,90,110,438,3.10.4.6.4.6
7,V8,4,8,14,20,29,42,52,67,88,110,435,3.10.4.6.4.6
8,V9,4,8,14,20,29,42,53,69,88,109,437,3.10.4.6.4.6
9,V10,4,8,14,20,29,43,55,70,90,110,444,3.10.4.6.4.6
10,V11,4,8,14,20,30,45,56,72,90,113,453,3.12.4.6.4.6
