,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0874,0.1626,0.1062,"x, 1/4-x, z",96 g,m
1,E2,0.125,0.1814,0.125,"1/8, y, 1/8",48 f,mm2
2,E3,0.0909,0.1968,0.0909,"x, y, x",96 g,m
3,E4,0.1807,0.2373,0.1807,"x, y, x",96 g,m
4,E5,0.1812,0.2877,0.1812,"x, y, x",96 g,m
5,E6,0.1932,0.2685,0.212,"x, y, z",192 i,1
6,E7,0.1933,0.1933,0.1745,"x, x, z",96 g,m
7,E8,0.1867,0.1342,0.3947,"x, y, z",192 i,1
8,E9,0.2329,0.1328,0.4116,"x, y, z",192 i,1
9,E10,0.2278,0.1576,0.3868,"x, y, z",192 i,1
10,E11,0.2194,0.167,0.4103,"x, y, z",192 i,1
11,E12,0.1062,0.1062,0.388,"x, x, z",96 g,m
12,E13,0.1438,0.1062,0.388,"x, 1/4-x, z",96 g,m
13,E14,0.1156,0.0968,0.3649,"x, y, z",192 i,1
14,E15,0.1596,0.1596,0.3274,"x, x, z",96 g,m
15,E16,0.1817,0.2005,0.3192,"x, y, z",192 i,1
16,E17,0.125,0.125,0.3419,"1/8, 1/8, z",48 f,mm2
17,E18,0.1995,0.2559,0.2559,"x, y, y",96 g,m
18,E19,0.2183,0.2747,0.2183,"x, y, x",96 g,m
19,E20,0.1937,0.3,0.2314,"x, y, z",192 i,1
20,E21,0.2068,0.2068,0.3254,"x, x, z",96 g,m
21,E22,0.1798,0.2352,0.3488,"x, y, z",192 i,1
22,E23,0.1811,0.2365,0.3957,"x, y, z",192 i,1
23,E24,0.2093,0.2093,0.4191,"x, x, z",96 g,m
24,E25,0.1798,0.25,0.4298,"x, 1/4, 1/4+x",96 h,2
