,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0,0.0,0.1493,"0, 0, z",4 e,3m,6
1,V2,4,0.0,0.0,0.0864,"0, 0, z",4 e,3m,6
2,V3,4,0.3333,0.6667,0.6463,"1/3, 2/3, z",4 f,3m,6
3,V4,4,0.3333,0.6667,0.5834,"1/3, 2/3, z",4 f,3m,6
4,V5,4,0.1019,0.4352,0.25,"x, y, 1/4",12 j,m,2
5,V6,4,0.4683,0.9366,0.1151,"x, 2x, z",12 k,m,2
6,V7,4,0.2012,0.4024,0.1166,"x, 2x, z",12 k,m,2
7,V8,4,0.5411,0.0822,0.1679,"x, 2x, z",12 k,m,2
8,V9,4,0.1269,0.2538,0.169,"x, 2x, z",12 k,m,2
9,V10,4,0.5408,0.0816,0.0623,"x, 2x, z",12 k,m,2
10,V11,4,0.1255,0.251,0.0648,"x, 2x, z",12 k,m,2
11,V12,4,0.3352,0.0519,0.2028,"x, y, z",24 l,1,1
12,V13,4,0.3295,0.049,0.0293,"x, y, z",24 l,1,1
