,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,12,24,39,63,104,137,174,219,264,1041,5.5.5.5.5.5
1,V2,4,12,24,36,64,109,133,163,216,264,1026,5.5.5.5.5.5
2,V3,4,12,24,39,66,109,133,168,231,270,1057,5.5.5.5.5.5
3,V4,4,12,24,39,69,105,127,169,225,270,1045,5.5.5.5.5.5
4,V5,4,12,26,46,72,102,136,180,232,284,1095,5.5.5.5.6.6
5,V6,4,12,25,41,67,95,130,178,224,272,1049,5.5.5.5.5.6
6,V7,4,12,25,42,63,96,133,176,222,269,1043,5.5.5.5.5.6
7,V8,4,12,24,40,68,100,133,175,223,274,1054,5.5.5.5.5.5
8,V9,4,12,24,40,69,96,133,179,222,266,1046,5.5.5.5.5.5
9,V10,4,12,25,43,66,95,133,172,220,276,1047,5.5.5.5.5.6
10,V11,4,12,24,39,65,99,130,166,213,274,1027,5.5.5.5.5.5
11,V12,4,12,25,44,69,98,136,181,224,277,1071,5.5.5.5.5.6
12,V13,4,12,25,43,68,93,128,173,221,275,1043,5.5.5.5.5.6
