,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.0,0.1179,"0, 0, z",4 e,3m
1,E2,0.873,0.9365,0.1591,"2y, y, z",12 k,m
2,E3,0.8746,0.9373,0.0756,"2y, y, z",12 k,m
3,E4,0.3333,0.6667,0.6149,"1/3, 2/3, z",4 f,3m
4,E5,0.2078,0.6039,0.6571,"2y, y, z",12 k,m
5,E6,0.2074,0.6037,0.5728,"2y, y, z",12 k,m
6,E7,0.1018,0.5509,0.25,"2y, y, 1/4",6 h,mm2
7,E8,0.2176,0.4352,0.25,"x, 2x, 1/4",6 h,mm2
8,E9,0.025,0.3592,0.2264,"x, y, z",24 l,1
9,E10,0.5329,0.8677,0.1159,"x, y, z",24 l,1
10,E11,0.5047,0.0094,0.1415,"x, 2x, z",12 k,m
11,E12,0.5046,0.0092,0.0887,"x, 2x, z",12 k,m
12,E13,0.1641,0.3282,0.1428,"x, 2x, z",12 k,m
13,E14,0.1633,0.3266,0.0907,"x, 2x, z",12 k,m
14,E15,0.4382,0.0671,0.1854,"x, y, z",24 l,1
15,E16,0.0375,0.2686,0.1859,"x, y, z",24 l,1
16,E17,0.4351,0.0653,0.0458,"x, y, z",24 l,1
17,E18,0.0382,0.2657,0.047,"x, y, z",24 l,1
18,E19,0.3352,0.1676,0.2028,"2y, y, z",12 k,m
19,E20,0.3294,0.1647,0.0293,"2y, y, z",12 k,m
20,E21,0.305,0.0,0.0,"x, 0, 0",12 i,2
