,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0,0.0,0.264,"0, 0, z",6 c,3m,6
1,V2,4,0.0,0.0,0.2225,"0, 0, z",6 c,3m,6
2,V3,4,0.0,0.0,0.4007,"0, 0, z",6 c,3m,6
3,V4,4,0.0,0.0,0.4422,"0, 0, z",6 c,3m,6
4,V5,4,0.2325,0.0,0.0,"x, 0, 0",18 f,2,2
5,V6,4,0.1342,0.2684,0.0892,"x, 2x, z",18 h,m,2
6,V7,4,0.8658,0.7316,0.0899,"x, 2x, z",18 h,m,2
7,V8,4,0.2061,0.4122,0.0541,"x, 2x, z",18 h,m,2
8,V9,4,0.7928,0.5856,0.055,"x, 2x, z",18 h,m,2
9,V10,4,0.2081,0.4162,0.1239,"x, 2x, z",18 h,m,2
10,V11,4,0.7931,0.5862,0.1248,"x, 2x, z",18 h,m,2
11,V12,4,0.3849,0.3826,0.0316,"x, y, z",36 i,1,1
12,V13,4,0.3826,0.3849,0.1473,"x, y, z",36 i,1,1
