,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.0,0.2433,"0, 0, z",6 c,3m
1,E2,0.1262,0.0631,0.2712,"2y, y, z",18 h,m
2,E3,0.1264,0.0632,0.2155,"2y, y, z",18 h,m
3,E4,0.0,0.0,0.4214,"0, 0, z",6 c,3m
4,E5,0.1272,0.0636,0.3941,"2y, y, z",18 h,m
5,E6,0.1252,0.0626,0.4497,"2y, y, z",18 h,m
6,E7,0.1163,0.8837,0.0,"x, 1-x, 0",18 h,m
7,E8,0.3087,0.0012,0.0158,"x, y, z",36 i,1
8,E9,0.2013,0.2014,0.0896,"x, y, z",36 i,1
9,E10,0.1701,0.3402,0.0717,"x, 2x, z",18 h,m
10,E11,0.1712,0.3424,0.1065,"x, 2x, z",18 h,m
11,E12,0.8293,0.6586,0.0725,"x, 2x, z",18 h,m
12,E13,0.8294,0.6588,0.1073,"x, 2x, z",18 h,m
13,E14,0.2955,0.3974,0.0428,"x, y, z",36 i,1
14,E15,0.8952,0.6003,0.0433,"x, y, z",36 i,1
15,E16,0.2954,0.4006,0.1356,"x, y, z",36 i,1
16,E17,0.8977,0.6017,0.1361,"x, y, z",36 i,1
17,E18,0.5011,0.4989,0.0316,"x, 1-x, z",18 h,m
18,E19,0.4989,0.5011,0.1473,"x, 1-x, z",18 h,m
19,E20,0.3333,0.3603,0.1667,"1/3, y, 1/6",18 g,2
