,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.0,0.0,"0, 0, 0",4 a,-1
1,E2,0.2408,0.0892,0.9908,"x, y, z",24 d,1
2,E3,0.0795,0.1707,0.2125,"x, y, z",24 d,1
3,E4,0.0004,0.9207,0.1175,"x, y, z",24 d,1
4,E5,0.0795,0.1593,0.9625,"x, y, z",24 d,1
5,E6,0.5,0.5,0.5,"1/2, 1/2, 1/2",4 b,-3
6,E7,0.2403,0.3315,0.3733,"x, y, z",24 d,1
7,E8,0.4904,0.3201,0.5283,"x, y, z",24 d,1
8,E9,0.4904,0.3315,0.2783,"x, y, z",24 d,1
9,E10,0.4112,0.5815,0.3733,"x, y, z",24 d,1
10,E11,0.2121,0.1702,0.3032,"x, y, z",24 d,1
11,E12,0.117,0.4203,0.3032,"x, y, z",24 d,1
12,E13,0.9621,0.1702,0.2919,"x, y, z",24 d,1
