,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.2338,0.2338,0.2338,"x, x, x",8 c,3,3
1,V2,4,0.2303,0.4796,0.4129,"x, y, z",24 d,1,1
2,V3,4,0.3118,0.3118,0.3118,"x, x, x",8 c,3,3
3,V4,4,0.1064,0.3093,0.3999,"x, y, z",24 d,1,1
4,V5,4,0.098,0.1046,0.3116,"x, y, z",24 d,1,1
5,V6,4,0.0237,0.3026,0.2056,"x, y, z",24 d,1,1
6,V7,4,0.0446,0.1098,0.4355,"x, y, z",24 d,1,1
7,V8,4,0.2354,0.3448,0.418,"x, y, z",24 d,1,1
8,V9,4,0.0254,0.4172,0.3966,"x, y, z",24 d,1,1
9,V10,4,0.0391,0.2336,0.489,"x, y, z",24 d,1,1
10,V11,4,0.1095,0.2366,0.2862,"x, y, z",24 d,1,1
