,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,12,24,42,69,93,132,174,214,278,1043,5.5.5.5.5.5
1,V2,4,12,24,41,67,97,128,174,219,269,1036,5.5.5.5.5.6
2,V3,4,12,24,42,69,99,129,175,220,270,1045,5.5.5.5.5.5
3,V4,4,12,24,42,69,97,127,174,219,274,1043,5.5.5.5.5.6
4,V5,4,11,23,41,63,90,129,171,210,263,1006,4.5.5.5.6.6
5,V6,4,12,25,41,67,99,130,175,224,271,1049,5.5.5.5.6.6
6,V7,4,10,21,38,61,90,123,162,207,260,977,4.4.5.6.6.6
7,V8,4,12,25,43,65,97,139,173,221,275,1055,5.5.5.5.5.6
8,V9,4,12,25,44,69,95,130,171,221,276,1048,5.5.5.5.5.6
9,V10,4,11,23,42,64,90,131,170,213,267,1016,4.5.5.5.6.6
10,V11,4,12,24,42,65,97,130,173,221,273,1042,5.5.5.5.5.6
