,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.2728,0.2728,0.2728,"x, x, x",8 c,3
1,E2,0.1716,0.2352,0.26,"x, y, z",24 d,1
2,E3,0.2623,0.5016,0.3577,"x, y, z",24 d,1
3,E4,0.2328,0.4122,0.4154,"x, y, z",24 d,1
4,E5,0.1669,0.5025,0.4151,"x, y, z",24 d,1
5,E6,0.2483,0.4953,0.476,"x, y, z",24 d,1
6,E7,0.2736,0.3283,0.3649,"x, y, z",24 d,1
7,E8,0.1709,0.3271,0.4089,"x, y, z",24 d,1
8,E9,0.0659,0.3633,0.3982,"x, y, z",24 d,1
9,E10,0.0727,0.2714,0.4445,"x, y, z",24 d,1
10,E11,0.1079,0.2729,0.3431,"x, y, z",24 d,1
11,E12,0.1518,0.0641,0.3071,"x, y, z",24 d,1
12,E13,0.0713,0.1072,0.3735,"x, y, z",24 d,1
13,E14,0.0435,0.0718,0.289,"x, y, z",24 d,1
14,E15,0.1037,0.1706,0.2989,"x, y, z",24 d,1
15,E16,0.9708,0.269,0.1804,"x, y, z",24 d,1
16,E17,0.0666,0.2696,0.2459,"x, y, z",24 d,1
17,E18,0.9901,0.0772,0.4128,"x, y, z",24 d,1
18,E19,0.0418,0.1717,0.4623,"x, y, z",24 d,1
19,E20,0.0644,0.4713,0.4069,"x, y, z",24 d,1
