,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.1331,0.8669,0.9153,"x, 1-x, z",18 h,m,2
1,V2,4,0.872,0.744,0.9161,"x, 2x, z",18 h,m,2
2,V3,4,0.2092,0.7908,0.9533,"x, 1-x, z",18 h,m,2
3,V4,4,0.0006,0.6134,0.0233,"x, y, z",36 i,1,1
4,V5,4,0.2085,0.7915,0.0471,"x, 1-x, z",18 h,m,2
5,V6,4,0.0,0.0,0.2254,"0, 0, z",6 c,3m,6
6,V7,4,0.248,0.124,0.2107,"2y, y, z",18 h,m,2
7,V8,4,0.2813,0.3364,0.1881,"x, y, z",36 i,1,1
8,V9,4,0.2081,0.4162,0.1208,"x, 2x, z",18 h,m,2
9,V10,4,0.0,0.0,0.4409,"0, 0, z",6 c,3m,6
10,V11,4,0.0,0.0,0.3942,"0, 0, z",6 c,3m,6
11,V12,4,0.0,0.0,0.2721,"0, 0, z",6 c,3m,6
