,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,12,25,42,70,92,126,173,217,271,1033,5.5.5.5.5.6
1,V2,4,12,25,43,66,93,129,171,217,270,1031,5.5.5.5.5.6
2,V3,4,12,23,41,64,95,130,167,214,271,1022,5.5.5.5.5.6
3,V4,4,11,24,41,63,92,129,173,218,266,1022,4.5.5.6.5.6
4,V5,4,12,23,41,65,91,130,172,211,262,1012,5.5.5.5.5.6
5,V6,4,12,24,39,66,103,130,162,213,270,1024,5.5.5.5.5.5
6,V7,4,12,25,43,67,96,131,173,218,270,1040,5.5.5.5.5.6
7,V8,4,12,25,43,68,94,132,176,219,267,1041,5.5.5.5.5.6
8,V9,4,12,24,39,66,100,128,168,211,265,1018,5.5.5.5.5.5
9,V10,4,12,24,36,61,107,136,156,207,259,1003,5.5.5.5.5.5
10,V11,4,12,24,36,61,101,133,162,207,261,1002,5.5.5.5.5.5
11,V12,4,12,24,36,64,106,129,156,216,268,1016,5.5.5.5.5.5
