,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.1946,0.9974,0.9157,"x, y, z",36 i,1
1,E2,0.1711,0.8289,0.9343,"x, 1-x, z",18 h,m
2,E3,0.1712,0.8288,0.8963,"x, 1-x, z",18 h,m
3,E4,0.8318,0.6636,0.9345,"x, 2x, z",18 h,m
4,E5,0.832,0.664,0.8977,"x, 2x, z",18 h,m
5,E6,0.2982,0.8957,0.965,"x, y, z",36 i,1
6,E7,0.2713,0.7287,0.946,"x, 1-x, z",18 h,m
7,E8,0.0006,0.5003,0.0233,"2y, y, z",18 h,m
8,E9,0.0,0.6131,0.0,"0, y, 0",18 f,2
9,E10,0.1045,0.7025,0.0352,"x, y, z",36 i,1
10,E11,0.2709,0.7291,0.054,"x, 1-x, z",18 h,m
11,E12,0.938,0.876,0.2181,"x, 2x, z",18 h,m
12,E13,0.0,0.0,0.2487,"0, 0, z",6 c,3m
13,E14,0.2647,0.2302,0.1994,"x, y, z",36 i,1
14,E15,0.1682,0.3364,0.1881,"x, 2x, z",18 h,m
15,E16,0.3333,0.3624,0.1667,"1/3, y, 1/6",18 g,2
16,E17,0.3699,0.4389,0.2003,"x, y, z",36 i,1
17,E18,0.2707,0.5414,0.1142,"x, 2x, z",18 h,m
18,E19,0.0,0.0,0.4176,"0, 0, z",6 c,3m
