,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.3463,0.1731,0.0403,"2y, y, z",9 b,m
1,E2,0.428,0.1357,0.0608,"x, y, z",18 c,1
2,E3,0.0841,0.2467,0.9588,"x, y, z",18 c,1
3,E4,0.4784,0.2,0.119,"0x, y, z",18 c,1
4,E5,0.0261,0.0522,0.1032,"x, 2x, z",9 b,m
5,E6,0.1228,0.2456,0.0,"x, 2x, z",9 c,m
6,E7,0.4329,0.2165,0.2039,"2y, y, z",9 b,m
7,E8,0.3654,0.1827,0.1363,"2y, y, z",9 b,m
8,E9,0.1941,0.0971,0.1095,"2y, y, z",9 b,m
9,E10,0.315,0.1183,0.078,"x, y, z",18 c,1
10,E11,0.9748,0.2485,0.0201,"x, y, z",18 c,1
11,E12,0.5883,0.1766,0.0813,"x, 2x, z",9 c,m
12,E13,0.5098,0.2549,0.0813,"2y, y, z",9 c,m
