,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0362,0.301,0.3992,"x, y, z",8 b,1
1,E2,0.9684,0.3489,0.4335,"x, y, z",8 b,1
2,E3,0.2192,0.3972,0.4472,"x, y, z",8 b,1
3,E4,0.2107,0.4044,0.1505,"x, y, z",8 b,1
4,E5,0.3189,0.4733,0.077,"x, y, z",8 b,1
5,E6,0.1486,0.2151,0.2016,"x, y, z",8 b,1
6,E7,0.0067,0.0595,0.2152,"x, y, z",8 b,1
7,E8,0.0544,0.1072,0.2531,"x, y, z",8 b,1
8,E9,0.148,0.0136,0.2531,"x, y, z",8 b,1
9,E10,0.1003,0.9659,0.2152,"x, y, z",8 b,1
10,E11,0.4268,0.4268,0.0,"x, x, 0",4 a,2
11,E12,0.4727,0.5681,0.0379,"x, y, z",8 b,1
12,E13,0.386,0.386,0.5,"x, x, 1/2",4 a,2
