,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,5,0.0167,0.0167,0.277,"x, x, z",96 g,m,2
1,V2,5,0.0461,0.0461,0.1605,"x, x, z",96 g,m,2
2,V3,5,0.0313,0.0745,0.2617,"x, y, z",192 i,1,1
3,V4,5,0.1031,0.1031,0.409,"x, x, z",96 g,m,2
4,V5,5,0.0819,0.1251,0.3554,"x, y, z",192 i,1,1
5,V6,5,0.0476,0.0907,0.3176,"x, y, z",192 i,1,1
6,V7,5,0.0265,0.1082,0.3714,"x, y, z",192 i,1,1
7,V8,5,0.0451,0.0885,0.4258,"x, y, z",192 i,1,1
8,V9,5,0.0092,0.0527,0.3895,"x, y, z",192 i,1,1
9,V10,5,0.033,0.033,0.335,"x, x, z",96 g,m,2
10,V11,5,0.0815,0.0815,0.125,"x, x, z",96 g,m,2
