,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,5,12,19,32,50,72,97,135,177,200,800,3.3.4.4.4.4.6.6.10.10
1,V2,5,12,19,32,50,72,95,126,167,191,770,3.3.4.4.4.4.6.6.10.10
2,V3,5,12,19,32,50,72,95,129,171,196,782,3.3.4.4.4.4.6.6.10.10
3,V4,5,12,19,32,50,74,102,137,177,213,822,3.3.4.4.4.4.6.6.10.10
4,V5,5,12,19,32,50,72,98,134,172,199,794,3.3.4.4.4.4.6.6.10.10
5,V6,5,12,19,32,50,72,98,131,172,202,794,3.3.4.4.4.4.6.6.10.10
6,V7,5,12,19,32,50,74,100,133,175,209,810,3.3.4.4.4.4.6.6.10.10
7,V8,5,12,19,32,51,76,102,136,183,214,831,3.3.4.4.4.4.6.6.10.12
8,V9,5,12,19,32,51,76,102,135,186,218,837,3.3.4.4.4.4.6.6.10.12
9,V10,5,12,19,32,50,74,100,134,179,219,825,3.3.4.4.4.4.6.6.10.10
10,V11,5,12,19,32,50,72,95,126,161,183,756,3.3.4.4.4.4.6.6.10.10
