,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0167,0.9949,0.2551,"x, y, 1/4-y",96 g,m
1,E2,0.024,0.0456,0.2693,"x, y, z",192 i,1
2,E3,0.0248,0.0248,0.306,"x, x, z",96 g,m
3,E4,0.0461,0.0678,0.1822,"x, y, 1/4-y",96 g,m
4,E5,0.0172,0.0387,0.168,"x, y, z",192 i,1
5,E6,0.0638,0.0638,0.1427,"x, x, z",96 g,m
6,E7,0.0529,0.0529,0.2617,"x, x, z",96 g,m
7,E8,0.0098,0.0745,0.2402,"x, y, 1/4-x",96 g,m
8,E9,0.0395,0.0826,0.2897,"x, y, z",192 i,1
9,E10,0.125,0.125,0.409,"1/8, 1/8, z",48 f,mm2
10,E11,0.0925,0.1141,0.3822,"x, y, z",192 i,1
11,E12,0.0741,0.0958,0.4174,"x, y, z",192 i,1
12,E13,0.1035,0.1035,0.3554,"x, x, z",96 g,m
13,E14,0.1034,0.1466,0.3554,"x, 1/4-x, z",96 g,m
14,E15,0.0648,0.1079,0.3365,"x, y, z",192 i,1
15,E16,0.0542,0.1167,0.3634,"x, y, z",192 i,1
16,E17,0.0691,0.0692,0.3176,"x, x, z",96 g,m
17,E18,0.037,0.0995,0.3445,"x, y, z",192 i,1
18,E19,0.0403,0.0618,0.3263,"x, y, z",192 i,1
19,E20,0.0,0.1184,0.3816,"0, y, 1/2-y",96 h,2
20,E21,0.0358,0.0984,0.3986,"x, y, z",192 i,1
21,E22,0.0179,0.0805,0.3804,"x, y, z",192 i,1
22,E23,0.0668,0.0668,0.4258,"x, x, z",96 g,m
23,E24,0.0272,0.0706,0.4076,"x, y, z",192 i,1
24,E25,0.0179,0.0995,0.4365,"x, y, z",192 i,1
25,E26,0.031,0.031,0.3895,"x, x, z",96 g,m
26,E27,0.0211,0.0428,0.3623,"x, y, z",192 i,1
27,E28,0.0815,0.1032,0.1033,"x, y, y",96 g,m
28,E29,0.0815,0.1032,0.1467,"x, y, 1/4-y",96 g,m
