,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.125,0.125,0.4036,"1/8, 1/8, z",48 f,mm2
1,E2,0.1057,0.045,0.3911,"x, y, z",192 i,1
2,E3,0.0621,0.1187,0.434,"x, y, z",192 i,1
3,E4,0.1075,0.1075,0.3593,"x, x, z",96 g,m
4,E5,0.0171,0.1344,0.4215,"x, y, z",192 i,1
5,E6,0.0151,0.1357,0.3347,"x, y, z",192 i,1
6,E7,0.0684,0.1816,0.4644,"x, 1/4-x, z",96 g,m
7,E8,0.9993,0.1473,0.4993,"x, y, 1/2+x",96 g,m
8,E9,0.0447,0.1361,0.5098,"x, y, z",192 i,1
9,E10,0.0212,0.1945,0.4509,"x, y, z",192 i,1
10,E11,0.0901,0.0901,0.5552,"x, x, z",96 g,m
11,E12,0.0902,0.1598,0.5552,"x, 1/4-x, z",96 g,m
12,E13,0.0776,0.1375,0.303,"x, y, z",192 i,1
13,E14,0.2229,0.2229,0.2584,"x, x, z",96 g,m
14,E15,0.1437,0.2746,0.2391,"x, y, z",192 i,1
15,E16,0.065,0.185,0.2908,"x, 1/4-x, z",96 g,m
16,E17,0.0,0.1796,0.3203,"0, y, 1/2-y",96 h,2
17,E18,0.9946,0.1501,0.2553,"x, y, 1/4-x",96 g,m
